Barra do Garcas,0,BR,1561780063,60,-15.89,-52.26,291.922,0.88
Ponta do Sol,0,BR,1561780064,80,-20.63,-46,288.302,2.56
Mataura,100,NZ,1561780064,61,-46.19,168.86,286.48,4.47
Punta Arenas,40,CL,1561780221,87,-53.16,-70.91,274.15,2.1
Khatanga,100,RU,1561780099,84,71.98,102.47,286.702,8.31
Prince George,90,CA,1561780057,93,53.92,-122.75,285.93,2.6
Fortuna,40,US,1561780222,87,40.6,-124.16,287.04,4.1
Nouadhibou,0,MR,1561780223,86,20.93,-17.03,292.072,12.18
Hermanus,3,ZA,1561780224,79,-34.42,19.24,285.37,2.24
Yellowknife,75,CA,1561780231,39,62.45,-114.38,290.15,1.5
Severo-Kurilsk,0,RU,1561780232,91,50.68,156.12,279.352,3.26
Sulangan,8,PH,1561780232,67,11.14,123.72,303.262,1.9
Hofn,100,IS,1561780169,94,64.25,-15.21,277.992,0.46
Bluff,0,AU,1561780233,49,-23.58,149.07,294.932,3.76
Hovd,75,NO,1561780233,87,63.83,10.7,285.37,3.6
New Norfolk,75,AU,1561780234,63,-42.78,147.06,289.82,6.7
Cape Town,75,ZA,1561780201,81,-33.93,18.42,285.15,6.7
Rikitea,80,PF,1561780033,82,-23.12,-134.97,297.402,10.22
Lac-Megantic,90,CA,1561780235,68,45.58,-70.88,294.15,2.6
Rome,0,IT,1561779975,53,41.89,12.48,299.26,3.6
Carnarvon,27,ZA,1561780236,91,-30.97,22.13,276.432,1.65
Saskylakh,100,RU,1561780102,50,71.97,114.09,289.752,3.83
Arraial do Cabo,0,BR,1561780243,80,-22.97,-42.02,295.432,9.67
Evensk,100,RU,1561780243,66,61.92,159.24,284.982,2.37
Pevek,100,RU,1561780244,99,69.7,170.27,275.942,4.19
Ushuaia,0,AR,1561780244,86,-54.81,-68.31,272.15,1.5
Moroto,44,UG,1561780245,91,2.53,34.66,291.442,1.33
Faya,0,SA,1561780245,34,18.39,42.45,294.15,1.25
Shu,0,KZ,1561780245,22,43.6,73.76,302.792,2.84
Mitsamiouli,40,KM,1561780246,88,-11.38,43.28,296.15,1
Torbay,90,CA,1561780193,100,47.66,-52.73,284.26,3.6
Ribeira Brava,40,PT,1561780246,68,32.65,-17.07,292.15,5.1
Georgetown,75,GY,1561780177,100,6.8,-58.16,297.15,1
Hualmay,100,PE,1561780247,86,-11.1,-77.61,290.382,9.51
Waiouru,2,NZ,1561780247,70,-39.48,175.67,280.862,3.07
Albany,40,US,1561780164,68,42.65,-73.75,297.59,1.54
Komsomolskiy,100,RU,1561780254,56,67.55,63.78,288.352,3.32
Pouebo,0,NC,1561780255,63,-20.4,164.57,295.852,3.7
Paithan,75,IN,1561780255,88,19.48,75.39,297.15,2.1
Strezhevoy,0,RU,1561780255,62,60.73,77.6,287.15,1
Loa Janan,71,ID,1561780256,64,-0.58,117.09,302.912,2.75
Vila Franca do Campo,20,PT,1561780259,77,37.72,-25.43,290.15,2.1
